episode,reward
0,3627.0
100,4423.0
200,5435.0
300,5351.0
400,6057.0
500,6006.0
600,5488.0
700,4203.0
800,4715.0
900,6108.0
1000,4814.0
1100,4632.0
1200,5711.0
1300,6002.0
1400,5964.0
1500,4683.0
1600,3073.0
1700,5357.0
1800,4195.0
1900,5821.0
2000,6358.0
2100,5783.0
2200,5971.0
2300,4841.0
2400,7093.0
2500,6716.0
2600,4936.0
2700,5447.0
2800,6064.0
2900,5275.0
3000,5366.0
3100,8364.0
3200,4584.0
3300,6565.0
3400,4409.0
3500,8373.0
3600,6225.0
3700,6070.0
3800,5085.0
3900,4684.0
4000,8658.0
4100,6366.0
4200,8173.0
4300,5757.0
4400,7416.0
4500,8425.0
4600,7127.0
4700,7791.0
4800,7971.0
4900,7453.0
5000,6833.0
5100,8706.0
5200,8182.0
5300,6769.0
5400,8187.0
5500,5523.0
5600,8452.0
5700,6932.0
5800,8279.0
5900,5889.0
6000,5931.0
6100,7273.0
6200,6910.0
6300,5756.0
6400,7583.0
6500,8023.0
6600,3922.0
6700,7164.0
6800,9200.0
6900,8605.0
7000,7670.0
7100,8545.0
7200,5516.0
7300,9524.0
7400,6921.0
7500,7722.0
7600,7487.0
7700,6161.0
7800,5758.0
7900,8066.0
8000,8041.0
8100,6808.0
8200,7475.0
8300,7135.0
8400,8180.0
8500,8612.0
8600,8739.0
8700,7115.0
8800,8315.0
8900,6485.0
9000,5957.0
9100,7524.0
9200,8713.0
9300,8953.0
9400,6474.0
9500,6697.0
9600,8706.0
9700,10129.0
9800,6509.0
9900,9535.0
10000,9567.0
10100,8511.0
10200,9405.0
10300,7896.0
10400,6328.0
10500,8176.0
10600,7203.0
10700,10028.0
10800,8482.0
10900,6670.0
11000,8259.0
11100,10320.0
11200,7658.0
11300,9358.0
11400,7954.0
11500,7547.0
11600,5975.0
11700,7399.0
11800,8524.0
11900,7496.0
12000,9412.0
12100,7142.0
12200,7762.0
12300,6887.0
12400,6779.0
12500,9025.0
12600,11013.0
12700,8146.0
12800,7283.0
12900,9100.0
13000,8050.0
13100,6750.0
13200,7727.0
13300,8217.0
13400,8457.0
13500,8685.0
13600,7827.0
13700,6425.0
13800,7916.0
13900,9570.0
14000,8917.0
14100,6699.0
14200,7448.0
14300,7021.0
14400,7344.0
14500,8109.0
14600,9293.0
14700,8517.0
14800,5956.0
14900,6903.0
15000,5910.0
15100,7565.0
15200,8381.0
15300,7047.0
15400,7580.0
15500,7967.0
15600,8756.0
15700,6639.0
15800,7546.0
15900,7676.0
16000,5902.0
16100,7653.0
16200,7640.0
16300,8158.0
16400,6589.0
16500,9039.0
16600,8536.0
16700,6888.0
16800,7973.0
16900,9610.0
17000,9313.0
17100,8570.0
17200,6619.0
17300,7660.0
17400,8197.0
17500,7945.0
17600,7631.0
17700,8820.0
17800,7004.0
17900,8253.0
18000,6920.0
18100,9409.0
18200,7828.0
18300,7581.0
18400,8151.0
18500,8472.0
18600,7706.0
18700,9104.0
18800,9712.0
18900,6494.0
19000,10500.0
19100,9020.0
19200,9949.0
19300,8367.0
19400,8750.0
19500,8366.0
19600,8969.0
19700,8609.0
19800,10188.0
19900,7574.0
20000,7089.0
20100,6250.0
20200,7610.0
20300,8570.0
20400,8929.0
20500,9422.0
20600,7545.0
20700,8243.0
20800,8708.0
20900,8087.0
21000,6788.0
21100,8135.0
21200,9251.0
21300,8649.0
21400,6959.0
21500,7656.0
21600,9549.0
21700,9425.0
21800,8666.0
21900,8758.0
22000,9951.0
22100,9816.0
22200,10013.0
22300,9113.0
22400,7247.0
22500,8531.0
22600,7003.0
22700,6707.0
22800,7702.0
22900,9924.0
23000,8430.0
23100,5980.0
23200,8381.0
23300,7947.0
23400,8670.0
23500,9485.0
23600,8645.0
23700,7592.0
23800,8490.0
23900,9113.0
24000,9026.0
24100,9143.0
24200,8743.0
24300,8877.0
24400,10185.0
24500,7055.0
24600,10200.0
24700,7818.0
24800,8083.0
24900,6623.0
25000,9022.0
25100,7471.0
25200,9136.0
25300,7736.0
25400,8496.0
25500,8862.0
25600,8033.0
25700,7918.0
25800,9310.0
25900,8018.0
26000,8775.0
26100,8246.0
26200,9796.0
26300,8575.0
26400,8820.0
26500,8868.0
26600,9147.0
26700,8662.0
26800,8800.0
26900,7753.0
27000,10008.0
27100,8634.0
27200,7683.0
27300,7778.0
27400,8648.0
27500,9212.0
27600,9852.0
27700,8036.0
27800,8624.0
27900,6873.0
28000,8475.0
28100,7454.0
28200,9159.0
28300,8430.0
28400,8646.0
28500,7582.0
28600,7431.0
28700,9221.0
28800,7070.0
28900,8729.0
29000,9130.0
29100,8871.0
29200,7970.0
29300,10298.0
29400,9493.0
29500,8629.0
