episode,reward
0,3438.0
100,9695.0
200,5240.0
300,7593.0
400,11430.0
500,2876.0
600,8290.0
700,11978.0
800,15431.0
900,-2355.0
1000,43616.0
1100,27537.0
1200,40307.0
1300,36195.0
1400,41508.0
1500,17294.0
1600,26692.0
1700,59284.0
1800,40682.0
1900,43596.0
2000,38264.0
2100,40148.0
2200,50405.0
2300,35187.0
2400,23408.0
2500,28171.0
2600,47929.0
2700,50600.0
2800,36127.0
2900,36026.0
3000,29862.0
3100,57657.0
3200,33608.0
3300,58339.0
3400,39975.0
3500,41767.0
3600,42166.0
3700,49896.0
3800,47951.0
3900,39462.0
4000,57808.0
4100,40649.0
4200,35134.0
4300,39957.0
4400,58251.0
4500,41831.0
4600,60225.0
4700,44095.0
4800,50353.0
4900,43192.0
5000,39539.0
5100,49384.0
5200,47922.0
5300,51065.0
5400,37155.0
5500,44529.0
5600,55418.0
5700,59229.0
5800,54760.0
5900,58115.0
6000,45058.0
6100,57707.0
6200,58153.0
6300,52315.0
6400,40846.0
6500,52261.0
6600,46634.0
6700,47685.0
6800,48819.0
6900,48582.0
7000,60350.0
7100,50775.0
7200,31825.0
7300,51803.0
7400,65748.0
7500,45947.0
7600,68066.0
7700,42102.0
7800,67440.0
7900,57605.0
8000,50322.0
8100,53450.0
8200,57401.0
8300,46649.0
8400,38167.0
8500,58225.0
8600,66444.0
8700,60163.0
8800,40597.0
8900,59596.0
9000,56760.0
9100,44381.0
9200,32477.0
9300,43145.0
9400,55102.0
9500,45852.0
9600,56986.0
9700,55176.0
9800,70331.0
9900,49922.0
10000,57674.0
10100,32818.0
10200,61658.0
10300,52883.0
10400,72380.0
10500,62418.0
10600,58010.0
10700,61027.0
10800,67438.0
10900,51700.0
11000,41154.0
11100,52222.0
11200,55198.0
11300,46258.0
11400,55048.0
11500,52781.0
11600,47172.0
11700,44471.0
11800,44827.0
11900,50558.0
12000,57327.0
12100,64357.0
12200,69117.0
12300,59614.0
12400,42275.0
12500,58731.0
12600,58856.0
12700,46208.0
12800,54046.0
12900,49075.0
13000,47865.0
13100,45653.0
13200,43728.0
13300,51891.0
13400,67578.0
13500,66798.0
13600,60336.0
13700,55630.0
13800,39599.0
13900,51757.0
14000,56751.0
14100,42868.0
14200,56906.0
14300,42771.0
14400,35138.0
14500,62977.0
14600,45827.0
14700,50907.0
14800,45764.0
14900,47226.0
15000,42618.0
15100,58021.0
15200,46474.0
15300,45002.0
15400,43731.0
15500,47013.0
15600,61790.0
15700,51785.0
15800,39091.0
15900,50171.0
16000,34646.0
16100,47317.0
16200,46954.0
16300,37520.0
16400,52676.0
16500,52148.0
16600,33850.0
16700,45177.0
16800,39570.0
16900,48883.0
17000,60229.0
17100,40680.0
17200,45804.0
17300,46866.0
17400,53521.0
17500,33365.0
17600,46855.0
17700,41611.0
17800,48064.0
17900,39657.0
18000,64671.0
18100,57901.0
18200,35571.0
18300,40689.0
18400,35548.0
18500,67801.0
18600,29964.0
18700,41231.0
18800,64952.0
18900,46383.0
19000,57423.0
19100,56496.0
19200,35358.0
19300,55579.0
19400,48361.0
19500,52206.0
19600,57602.0
19700,63647.0
19800,47413.0
19900,51071.0
20000,43294.0
20100,47658.0
20200,57624.0
20300,76189.0
20400,44872.0
20500,50424.0
20600,49945.0
20700,64571.0
20800,47444.0
20900,32424.0
21000,51066.0
21100,33784.0
21200,50395.0
21300,43523.0
21400,45857.0
21500,54761.0
21600,68970.0
21700,59637.0
21800,44058.0
21900,41583.0
22000,45955.0
22100,50256.0
22200,52718.0
22300,66988.0
22400,49194.0
22500,47292.0
22600,46230.0
22700,41660.0
22800,31701.0
22900,64642.0
23000,66335.0
23100,49766.0
23200,51686.0
23300,41291.0
23400,48151.0
23500,41769.0
23600,57973.0
23700,31234.0
23800,58326.0
23900,44986.0
24000,60693.0
24100,60545.0
24200,51333.0
24300,52761.0
24400,65404.0
24500,51881.0
24600,56200.0
24700,61851.0
24800,58296.0
24900,44794.0
25000,65176.0
25100,51428.0
25200,40752.0
25300,73329.0
25400,57766.0
25500,44246.0
25600,75616.0
25700,33559.0
25800,59464.0
25900,50722.0
26000,67796.0
26100,51057.0
26200,34511.0
26300,49570.0
26400,66672.0
26500,39503.0
26600,74326.0
26700,52870.0
26800,37204.0
26900,47756.0
27000,45238.0
27100,45559.0
27200,46659.0
27300,55660.0
27400,48391.0
27500,48461.0
27600,36229.0
27700,58215.0
27800,53510.0
27900,45045.0
28000,43336.0
28100,45171.0
28200,48807.0
28300,53685.0
28400,60219.0
28500,61307.0
28600,38570.0
28700,39928.0
28800,60564.0
28900,40333.0
29000,62689.0
29100,44629.0
29200,50761.0
29300,51173.0
29400,44569.0
29500,48763.0
29600,57743.0
29700,51179.0
29800,58316.0
29900,60391.0
30000,50538.0
30100,64860.0
30200,50436.0
30300,63045.0
30400,46307.0
30500,43588.0
30600,50102.0
30700,39737.0
30800,56872.0
30900,58545.0
31000,48543.0
31100,55055.0
31200,52834.0
31300,50205.0
31400,56848.0
31500,50858.0
31600,61983.0
31700,52495.0
31800,55855.0
31900,39438.0
32000,58173.0
32100,53213.0
32200,41187.0
32300,33445.0
32400,60376.0
32500,47122.0
32600,57602.0
32700,49971.0
32800,54715.0
32900,46128.0
33000,68964.0
33100,65546.0
33200,55794.0
33300,56225.0
33400,44058.0
33500,48743.0
33600,54085.0
33700,50068.0
33800,45112.0
33900,39132.0
34000,46091.0
34100,66683.0
34200,47716.0
34300,55757.0
34400,63503.0
34500,47907.0
34600,66489.0
34700,37265.0
34800,56283.0
34900,43482.0
35000,59757.0
35100,45832.0
35200,54515.0
35300,70313.0
35400,35104.0
35500,41812.0
35600,57366.0
35700,52306.0
35800,50505.0
35900,46906.0
36000,54368.0
36100,56038.0
36200,59305.0
36300,67955.0
36400,42427.0
36500,60545.0
36600,64487.0
36700,48717.0
36800,40730.0
36900,74747.0
37000,65896.0
37100,60038.0
37200,59725.0
37300,57296.0
37400,53444.0
37500,38300.0
37600,58671.0
37700,41694.0
37800,45812.0
37900,52056.0
38000,52982.0
38100,38353.0
38200,64680.0
38300,59553.0
38400,29225.0
38500,53790.0
38600,75482.0
38700,40056.0
38800,49391.0
38900,64400.0
39000,54108.0
39100,56957.0
39200,44414.0
39300,38314.0
39400,40682.0
39500,50613.0
39600,58757.0
39700,49010.0
39800,66596.0
39900,50869.0
40000,43793.0
40100,59521.0
40200,64790.0
40300,40073.0
40400,61059.0
40500,53848.0
40600,62194.0
40700,61545.0
40800,59974.0
40900,47944.0
41000,52295.0
41100,56865.0
41200,76557.0
41300,63162.0
41400,44399.0
41500,46169.0
41600,34269.0
41700,55086.0
41800,52361.0
41900,47744.0
42000,39197.0
42100,51142.0
42200,50103.0
42300,52530.0
42400,53255.0
42500,66219.0
42600,52936.0
42700,48924.0
42800,46270.0
42900,51357.0
43000,54378.0
43100,38514.0
43200,44929.0
43300,52948.0
43400,43223.0
43500,47128.0
43600,52545.0
43700,79268.0
43800,37916.0
43900,43000.0
44000,44328.0
44100,50378.0
44200,53753.0
44300,28862.0
44400,46508.0
44500,46798.0
44600,40920.0
44700,54548.0
44800,59710.0
44900,55605.0
45000,58199.0
45100,67882.0
45200,49701.0
45300,48049.0
45400,34207.0
45500,46374.0
45600,63490.0
45700,49004.0
45800,50784.0
45900,50453.0
46000,49223.0
46100,56676.0
46200,52210.0
46300,45458.0
46400,48190.0
46500,47391.0
46600,61125.0
46700,39473.0
46800,60821.0
46900,45258.0
47000,55305.0
47100,41993.0
47200,40020.0
47300,49340.0
47400,50640.0
47500,63067.0
47600,53267.0
47700,65129.0
47800,48786.0
47900,47295.0
48000,37786.0
48100,53906.0
48200,60186.0
48300,65267.0
48400,39482.0
48500,53637.0
48600,45094.0
48700,62128.0
48800,46281.0
48900,46250.0
49000,54993.0
49100,61710.0
49200,62117.0
49300,31212.0
49400,56359.0
49500,44518.0
49600,69384.0
49700,38780.0
49800,57754.0
49900,54690.0
50000,48113.0
50100,56748.0
50200,35026.0
50300,49930.0
50400,60629.0
50500,54111.0
50600,49962.0
50700,48709.0
50800,64167.0
50900,52070.0
51000,56361.0
51100,44180.0
51200,49231.0
51300,52421.0
51400,29075.0
51500,57436.0
51600,41657.0
51700,47672.0
51800,50994.0
51900,60981.0
52000,59847.0
52100,36769.0
52200,45339.0
52300,50012.0
52400,40713.0
52500,43374.0
52600,43099.0
52700,50249.0
52800,68336.0
52900,44081.0
53000,48462.0
53100,38602.0
53200,53029.0
53300,48888.0
53400,35898.0
53500,67609.0
53600,55127.0
53700,49160.0
53800,63990.0
53900,46308.0
54000,38777.0
54100,41117.0
54200,47750.0
54300,48889.0
54400,71458.0
54500,53749.0
54600,43790.0
54700,44937.0
54800,54945.0
54900,44471.0
55000,46658.0
55100,45098.0
55200,61327.0
55300,49356.0
55400,67439.0
55500,56546.0
55600,63466.0
55700,43767.0
55800,63413.0
55900,43561.0
56000,60246.0
56100,44193.0
56200,47794.0
56300,53759.0
56400,57302.0
56500,35272.0
56600,54938.0
56700,55144.0
56800,49452.0
56900,63822.0
57000,57975.0
57100,48328.0
57200,54549.0
57300,48661.0
57400,59644.0
57500,57587.0
57600,48340.0
57700,58073.0
57800,58394.0
57900,50983.0
58000,53926.0
58100,52548.0
58200,62752.0
58300,54654.0
58400,73476.0
58500,50006.0
58600,50792.0
58700,55820.0
58800,52979.0
58900,55347.0
59000,45940.0
59100,53843.0
59200,66453.0
59300,54462.0
59400,51826.0
59500,58689.0
59600,78830.0
59700,47225.0
59800,52045.0
59900,59597.0
